spotify_track_uri,artist_name,track_name,count
spotify:track:5VqyViqzpY23ksTZOYmlHC,Felix Jaehn,Shine,381
spotify:track:2nOx2XwnLiraylicoyDqZX,Aeroplane,Let's Get Slow,316
spotify:track:5sZToTMy2NyStd2FmRV8tY,Couzare,Afraid of Heights - Original Mix,287
spotify:track:5ctXZyWLbYyUSpPOdlKTlj,Felix Jaehn,I Do,280
spotify:track:7HbwANSdBmfQYCBvBZgvqJ,Campsite Dream,Crush,268
spotify:track:1dBtvU9dLiTPfLKLchGxCG,Krono,Run,255
spotify:track:4CKbDMJTJokYsUvIVrvCqb,SAFIA,Embracing Me,250
spotify:track:1FFG7xxiIpaw1kfbc402Pp,Couzare,Just,249
spotify:track:1SWtzh0fKCtJsEr81LQBwK,Flight Facilities,Foreign Language - Flight Facilities Extended Mix,246
spotify:track:2eFxaSHpZcJiwKlUpHqtLp,Broiler,Wild Eyes,239
spotify:track:38nm9c5ATEoZLqbjn72Rew,TEEMID,Crazy (feat. Joie Tan) - Radio Mix,239
spotify:track:2HpTnkq3OHKRPNgyj7V5i5,Cupid Valentino and the Lovely Imperfections,Without You - NBM Remix,237
spotify:track:2gkyOTZQJ7mWf32KK0zEXc,Marcus Marr,The Trouble with Us,233
spotify:track:0k93MXOj0kSXo84SvSDeUz,Duke Dumont,Ocean Drive,227
spotify:track:0xx2lOJwl6sbIzqu1ZduIC,SAFIA,Counting Sheep,220
spotify:track:54fgVvj2y9fTTgEUK95CZN,Flight Facilities,Sunshine,212
spotify:track:203t5YqpCFmIdxj8hIotxo,Alina Baraz,Fantasy - Felix Jaehn Remix,209
spotify:track:2BtXdx9jEpvoG0uaVZ15ed,BANKS,Beggin For Thread - Gryffin & Hotel Garuda Remix,205
spotify:track:61LL20jMTJixZtNZrBnlLR,Flight Facilities,With You,204
spotify:track:4Di4D5RW5cOfwKJfNldIiK,Flight Facilities,Two Bodies,200
spotify:track:683xkNbM7aLenGyzEvWJAU,Flight Facilities,Stand Still,195
spotify:track:00uwXg2FZT4zzw2YKZxRlf,Alina Baraz,Make You Feel - Hotel Garuda Remix,191
spotify:track:1ADGydOgtuzBNmdFpcQGLB,Icona Pop,All Night,188
spotify:track:32Z54yyOInrL7bAk2ZRN2d,SAFIA,"Paranoia, Ghosts & Other Sounds",188
spotify:track:5Iomdh80a3bsxouxHzc1f4,Hungry Kids of Hungary,Scattered Diamonds,187
spotify:track:5LZQ5s0kRZS9nBSd1xLK7U,Black Coast,Trndsttr (feat. M. Maggie) - Lucian Remix,187
spotify:track:5AyF5z5CF4zRT3qY7JYjL3,Meg Mac,Never Be,185
spotify:track:0BiGd2FNDQ0eh79ZHfp6tS,Martin Jensen,All I Wanna Do,182
spotify:track:7qtxpp3xkyRQ9nUhuNh1kn,Clean Bandit,Dust Clears (feat. Noonie Bao),178
spotify:track:1rkI7uIbboBI3S7FVvYqXa,The Aston Shuffle,Tear It Down - Remix,175
spotify:track:27uXo4JuwBrXZiuqn7Hi8U,Airwolf Paradise,Lose The Lazy,175
spotify:track:3utsJdhRUrJA8avrOawi8D,Clean Bandit,Stronger,175
spotify:track:7ahcfITUXa1W8OH9AXWWTx,Felix Jaehn,Dance With Me - Extended Mix,175
spotify:track:3gUFIFsPLf6c2pssekXkTU,Luke Million,Light & Sound,174
spotify:track:7py16W5fWYLFFS6BElKAjn,Clean Bandit,Tears (feat. Louisa Johnson),174
spotify:track:0OAVn3isG6datyfHNZn8r5,JØD,What I Know (feat. Maki Flow),172
spotify:track:15vzANxN8G9wWfwAJLLMCg,The Chainsmokers,Paris,172
spotify:track:0BLR0gzwIbPJlI5y2BUGYZ,Halsey,Ghost - Lost Kings Remix,171
spotify:track:1Sd9V5j3F7FsMpZmIKrejY,Charles Perry,Stranger To Love - RAC Mix,171
spotify:track:1D3ODoXHBLpdxolZRHWV1j,Jonas Blue,By Your Side,164
spotify:track:3ZaDmFALjerSY8EKhnKFd8,Clean Bandit,Rihanna (feat. Noonie Bao),164
spotify:track:6BGEhol7XQqvFjN6HtCI3R,Fox Stevenson,Sweets (Soda Pop),164
spotify:track:15uFqHGAOvaGCqikvgiW6w,CAZZETTE,Sleepless - Radio Edit,163
spotify:track:5QksN3yDQUyngdaxGUhFFW,The 2 Bears,Not This Time,163
spotify:track:7KCWmFdw0TzoJbKtqRRzJO,Alina Baraz,Fantasy - Felix Jaehn Remix,162
spotify:track:0p7sGeBn2cgu8DIqqPwDaY,Two Door Cinema Club,Something Good Can Work (RAC Mix),160
spotify:track:4ZcGbQ5dOKX6rJk4yvza9R,Grimes,Flesh without Blood,160
spotify:track:6pIZ0u32c2Lku8PmCWtnMy,Years & Years,King,159
spotify:track:4zFgZQEatsyUhLhDtClcKl,Ella Henderson,Ghost - Oliver Nelson Remix,158
spotify:track:7LjpD0JUVM65qPkPBZrUWp,HUGEL,Coming Home (feat. Jimmy Hennessy) - Radio Mix,158
spotify:track:6L778PA16SuyYvFhqnMndY,The Weeknd,Starboy - Kygo Remix,157
spotify:track:4qABfS1RaGVXdBhj2BQyhO,Galantis,Runaway (U & I),156
spotify:track:31I568auQdhEWVZ5xLMbVe,Clubfeet,Heartbreak (feat. Chela),154
spotify:track:6A4SBbKBuG3GEXSa0pRbq1,SAFIA,Over You,154
spotify:track:5MQ0wmllh95MnSVvg9f4LD,Flight Facilities,Down to Earth - Radio Edit,153
spotify:track:6RsWqX8zABZLhZydXxEFOm,The Weeknd,Can't Feel My Face,153
spotify:track:773mzt4GHA1ogZvCZWWeGu,BØRNS,Seeing Stars,151
spotify:track:5moiSIZp4FFKVL77zwIfa4,Surahn,Wonderful - Aeroplane Remix,150
spotify:track:3T9EW0MN5nyXi7qbKWaOMq,Shakka,When Will I See You Again,149
spotify:track:3kTH4zIpKYtjSsMFTKEXOT,Zanski,Hesitate,149
spotify:track:0HMDVVxFqYwmbSON1KEG0h,RAC,Cheap Sunglasses,148
spotify:track:4vNWSeEhlyIlB9ur17x1S4,Zimmer,Escape,148
spotify:track:047XkWonvB0lGLiLlyrnCc,MOTi,Spark,145
spotify:track:3pzjHKrQSvXGHQ98dx18HI,Justin Bieber,What Do You Mean?,145
spotify:track:3ymIvH70wEVh05CeI6rOro,SAFIA,Make Them Wheels Roll,144
spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,144
spotify:track:6WkJ2OK163XXS2oARUC9JM,Aaron Smith,Dancin (feat. Luvli) - Krono Remix,144
spotify:track:25XEG0uXmn4AhvxJ2W4MJD,Sonny Alven,Our Youth,140
spotify:track:6YwLgicpvVuMt1eE2OldwQ,Deorro,Five More Hours,139
spotify:track:2yzsCm9n8lbpPvntMGLc33,Mozambo,Bright Side,138
spotify:track:2lDYjLe2xR0CiXNyVvSHcO,Matoma,Old Thing Back (feat. Ja Rule and Ralph Tresvant),137
spotify:track:4xlrALxuaCf9yZBHJeTSG6,Jonas Blue,Mama,136
spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,135
spotify:track:7fPHfBCyKE3aVCBjE4DAvl,The Weeknd,In The Night,134
spotify:track:3s4U7OHV7gnj42VV72eSZ6,Clean Bandit,Rather Be (feat. Jess Glynne),131
spotify:track:3R8lr1Y1kPgXEbnXkcMMlT,Starley,Call On Me - Ryan Riback Remix,130
spotify:track:3hYdai5p5sQ3vAmHQ6uaK6,Elderbrook,Something About You (with Rudimental),130
spotify:track:0gZSvh4emENER9WH8hXG68,The Aston Shuffle,Tear It Down,129
spotify:track:0l6jGURAzr0Q24bjXHa29H,Flight Facilities,Crave You,129
spotify:track:7o4a4JCvZXGItFxDrUKr3P,Wankelmut,My Head Is A Jungle - MK Remix,129
spotify:track:4agspze1oj6HAw7EbL9wW2,Cold War Kids,Miracle Mile,128
spotify:track:69wPH9nZuBpliiH7cRPnX6,A-Trak,Push (feat. Andrew Wyatt),128
spotify:track:11XNC0onBq5xeLTAkygHtP,Client Liaison,World Of Our Love,127
spotify:track:5hmJIY19Z6bLs0JNsrAMPD,Toploader,Dancing in the Moonlight,127
spotify:track:1KZyVnyptQcPzkx7ELCnZC,James Bay,Hold Back The River,125
spotify:track:3Dr1IXORELfnZGzE9yhjt8,Freddy Verano,Dolphins - Radio Edit,125
spotify:track:4vJAhLLHcgPeR3pQopGaIG,Florence + The Machine,Only If For A Night,124
spotify:track:6hzVvpN9pE4Ab7moqcZRUP,Bryce Fox,Burn Fast (Koni Remix),123
spotify:track:3SZGSxulcYHeX5c79H6HYj,SAFIA,You Are the One,122
spotify:track:6ARyUgqUSueTVM6U2NOp8h,Dresses,Please Don't Go (Cheat Codes Edit) [feat. Cheat Codes],122
spotify:track:0OfZ9imMwFU03zc2wl8pBt,filous,How Hard I Try,121
spotify:track:4GQGLGZm3iDA4z5ejGPBVK,Fluir,I've Gotta Have You,120
spotify:track:2VYiQ9ijG3NER2aevaxzDi,Cash Cash,How to Love (feat. Sofia Reyes),119
spotify:track:79nopNMm3rJSUfQfMkG0Ur,Mura Masa,Firefly,119
spotify:track:1iwTLpT7pgdM763Bjl980U,SNBRN,Raindrops (feat. Kerli) - Hotel Garuda Remix,118
spotify:track:4iZPNYqzI2L0uwuUKun7Aa,Kygo,Stole the Show,118
spotify:track:12HB8AmFTovKrFcGG36KbL,Florence + The Machine,Delilah,115
spotify:track:16GjEJa6rF7s6uBn8Rekuh,Charlie Puth,Attention - Oliver Heldens Remix,115
spotify:track:2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,112
spotify:track:3xZ5rp12vHqnbpkxAemSm4,KREAM,Taped Up Heart (feat. Clara Mae) - Lash Remix,111
